ATTR2,平均寿命_男性,健康寿命_男性,不健康な期間の平均_男性,平均寿命_女性,健康寿命_女性,不健康な期間の平均_女性
北区,78.58,77.04,1.54,85.89,82.22,3.67
都島区,78.53,77.07,1.46,85.7,82.23,3.47
福島区,79.42,78.08,1.34,85.95,82.99,2.96
此花区,77.84,76.45,1.39,84.32,81.25,3.07
中央区,79.36,77.7,1.66,85.25,81.84,3.4
西区,80.14,78.41,1.73,86.34,82.54,3.8
港区,77.11,75.25,1.86,84.56,80.69,3.87
大正区,77.27,75.52,1.75,84.2,80.5,3.7
天王寺区,80.34,78.77,1.57,86.62,83.29,3.33
浪速区,75.15,73.52,1.62,83.72,80.15,3.57
西淀川区,78.32,76.8,1.52,85.96,82.33,3.63
淀川区,78.09,76.67,1.42,85.28,81.99,3.29
東淀川区,77.42,75.77,1.65,85.1,81.66,3.44
東成区,79.61,78.04,1.57,86.59,83.15,3.44
生野区,79.32,77.23,2.09,87.6,83.13,4.47
旭区,77.5,76.13,1.37,85.71,82.37,3.34
城東区,79.04,77.57,1.47,85.98,82.76,3.22
鶴見区,79.04,77.51,1.53,85.71,82,3.71
阿倍野区,79.35,77.59,1.76,86.23,82.43,3.8
住之江区,78.55,77.03,1.51,85.34,82,3.34
住吉区,77.81,76.12,1.68,86,82.14,3.86
東住吉区,77.57,76.1,1.48,85.61,82.05,3.56
平野区,78.02,76.58,1.44,84.71,81.32,3.39
西成区,72.31,71.09,1.22,82.99,79.33,3.66
